t,cpu_avg_pct,gpu_pct,ram_used_mb,vdd_in_mw,vdd_cpu_mw,vdd_gpu_mw,vdd_soc_mw,gpu_temp_c,cpu_temp_c
06-16-2026 00:09:27,7.17,0,3168,5884,1520,0,1520,52.468,49.843
06-16-2026 00:09:28,8.0,29,3169,6049,1640,0,1561,52.687,50.0
06-16-2026 00:09:29,6.5,20,3169,6008,1602,0,1561,52.718,49.812
06-16-2026 00:09:30,7.33,0,3169,5843,1479,0,1520,52.343,49.906
06-16-2026 00:09:31,7.17,0,3169,6008,1602,0,1561,52.531,49.843
06-16-2026 00:09:32,6.83,0,3169,5925,1520,0,1520,52.625,49.906
06-16-2026 00:09:33,7.83,0,3154,5843,1520,0,1520,52.593,49.968
06-16-2026 00:09:34,7.17,0,3167,5967,1561,0,1520,52.406,49.968
06-16-2026 00:09:35,6.83,0,3168,5884,1520,0,1520,52.531,49.843
06-16-2026 00:09:36,8.17,41,3169,5967,1561,0,1520,52.687,50.0
06-16-2026 00:09:37,6.17,0,3169,6008,1602,0,1561,52.656,49.968
06-16-2026 00:09:38,6.33,0,3169,5843,1479,0,1520,52.468,50.125
06-16-2026 00:09:39,7.5,54,3169,6090,1643,0,1561,52.781,49.968
06-16-2026 00:09:40,6.17,0,3169,5967,1561,0,1561,52.5,50.031
06-16-2026 00:09:41,7.17,0,3169,5843,1479,0,1520,52.5,50.031
06-16-2026 00:09:42,7.17,0,3169,6008,1602,0,1561,52.687,50.093
06-16-2026 00:09:43,6.83,0,3169,5925,1520,0,1561,52.562,49.968
06-16-2026 00:09:44,7.83,30,3169,6008,1561,0,1561,52.593,50.25
06-16-2026 00:09:45,6.83,0,3168,5925,1520,0,1520,52.593,50.062
06-16-2026 00:09:46,7.17,0,3168,5884,1520,0,1520,52.593,50.0
06-16-2026 00:09:47,7.5,29,3168,6090,1640,0,1561,52.687,50.125
06-16-2026 00:09:48,7.0,52,3167,6049,1602,0,1561,52.781,49.968
06-16-2026 00:09:49,7.17,0,3167,5843,1479,0,1520,52.687,50.25
06-16-2026 00:09:50,7.33,1,3167,6008,1602,0,1561,52.593,49.968
06-16-2026 00:09:51,6.83,0,3167,5925,1561,0,1520,52.531,50.156
06-16-2026 00:09:52,7.5,0,3166,5843,1479,0,1520,52.656,50.187
06-16-2026 00:09:53,7.5,0,3167,5967,1561,0,1561,52.875,50.187
06-16-2026 00:09:54,7.33,0,3166,5843,1479,0,1520,52.562,50.031
06-16-2026 00:09:55,7.83,41,3167,6049,1602,0,1561,52.656,50.187
06-16-2026 00:09:56,7.17,43,3167,5967,1561,0,1561,52.812,50.031
06-16-2026 00:09:57,8.0,0,3166,5843,1479,0,1520,52.718,50.406
06-16-2026 00:09:58,8.17,0,3167,5967,1561,0,1561,52.625,50.031
06-16-2026 00:09:59,7.17,0,3167,5925,1520,0,1561,52.593,50.062
06-16-2026 00:10:00,9.0,0,3167,6008,1561,0,1561,52.937,50.156
06-16-2026 00:10:01,7.33,0,3168,5884,1520,0,1520,52.625,49.875
06-16-2026 00:10:02,7.33,0,3168,5843,1479,0,1520,52.562,50.125
06-16-2026 00:10:03,8.17,38,3168,6090,1643,0,1561,53.0,49.968
06-16-2026 00:10:04,7.0,25,3168,6008,1602,0,1561,52.875,50.187
06-16-2026 00:10:05,7.83,0,3168,5843,1479,0,1520,52.593,50.062
06-16-2026 00:10:06,7.83,0,3169,6008,1602,0,1561,52.875,50.125
06-16-2026 00:10:07,6.67,0,3169,5925,1520,0,1561,52.781,50.0
06-16-2026 00:10:08,8.0,0,3170,5843,1479,0,1520,52.593,50.218
06-16-2026 00:26:05,7.67,29,3243,6008,1602,0,1561,52.812,50.0
06-16-2026 00:26:06,6.33,32,3243,6008,1602,0,1561,52.656,49.968
06-16-2026 00:26:07,6.5,0,3244,5843,1479,0,1520,52.375,50.125
06-16-2026 00:26:08,7.33,54,3245,6008,1602,0,1561,52.75,50.0
06-16-2026 00:26:09,6.17,0,3245,5967,1561,0,1561,52.593,49.937
06-16-2026 00:26:10,7.67,0,3246,5843,1479,0,1520,52.5,49.812
06-16-2026 00:26:11,7.0,0,3246,5967,1561,0,1520,52.687,50.031
06-16-2026 00:26:12,6.33,0,3246,5884,1520,0,1520,52.656,49.781
06-16-2026 00:26:13,8.33,42,3247,5967,1561,0,1561,52.625,50.281
06-16-2026 00:26:14,6.17,0,3247,5884,1520,0,1520,52.625,49.937
06-16-2026 00:26:15,6.83,0,3247,5843,1479,0,1520,52.593,50.0
06-16-2026 00:26:16,7.5,25,3246,6049,1602,0,1561,52.687,49.968
06-16-2026 00:26:17,6.67,59,3246,6008,1602,0,1561,52.625,50.093
06-16-2026 00:26:18,7.0,0,3247,5843,1479,0,1520,52.625,50.093
06-16-2026 00:26:19,7.5,5,3247,6008,1602,0,1561,52.656,49.906
06-16-2026 00:26:20,6.33,0,3248,5967,1561,0,1561,52.593,50.093
06-16-2026 00:26:21,7.33,6,3248,5925,1561,0,1520,52.781,50.187
06-16-2026 00:26:22,6.5,0,3248,5884,1520,0,1520,52.75,50.031
06-16-2026 00:26:23,6.0,0,3251,5843,1479,0,1520,52.5,49.968
06-16-2026 00:26:24,7.33,52,3251,5967,1602,0,1561,52.906,50.281
06-16-2026 00:26:25,5.83,19,3251,6008,1602,0,1561,52.875,50.031
06-16-2026 00:26:26,6.33,0,3252,5843,1479,0,1520,52.625,50.156
06-16-2026 00:26:27,6.83,1,3252,6008,1602,0,1561,52.687,50.093
06-16-2026 00:26:28,6.83,23,3252,5967,1561,0,1561,52.718,49.968
06-16-2026 00:26:29,7.17,0,3252,5843,1479,0,1520,52.687,50.312
06-16-2026 00:26:30,6.0,0,3252,5925,1561,0,1520,52.625,50.0
06-16-2026 00:26:31,6.17,0,3253,5843,1520,0,1520,52.687,50.031
06-16-2026 00:26:32,7.33,43,3252,5967,1561,0,1561,52.875,50.281
06-16-2026 00:26:33,6.17,0,3252,5925,1561,0,1561,52.687,50.156
06-16-2026 00:26:34,6.17,0,3252,5843,1479,0,1520,52.593,50.125
06-16-2026 00:26:35,7.0,46,3252,6049,1599,0,1561,52.875,50.312
06-16-2026 00:26:36,5.83,61,3251,5967,1561,0,1561,52.687,50.093
06-16-2026 00:26:37,6.83,0,3252,5843,1479,0,1520,53.062,50.375
06-16-2026 00:26:38,6.5,0,3252,5967,1561,0,1561,52.75,50.187
06-16-2026 00:26:39,6.17,0,3252,5925,1520,0,1520,52.781,50.218
06-16-2026 00:26:40,7.5,0,3252,5925,1561,0,1561,53.062,50.187
06-16-2026 00:26:41,6.17,0,3252,5884,1520,0,1520,52.812,50.281
06-16-2026 00:26:42,6.83,0,3252,5843,1479,0,1520,52.687,50.156
06-16-2026 00:26:43,8.0,29,3252,6008,1599,0,1561,53.093,50.343
06-16-2026 00:26:44,6.67,20,3252,6008,1602,0,1561,53.031,50.187
06-16-2026 00:26:45,7.0,0,3252,5843,1520,0,1520,52.718,50.375
06-16-2026 00:26:46,7.17,1,3252,6008,1602,0,1561,52.812,50.218
06-16-2026 00:26:47,6.67,0,3253,5925,1561,0,1561,52.968,50.406
06-16-2026 00:26:48,7.5,0,3253,5843,1479,0,1520,52.718,50.25
06-16-2026 00:26:49,6.67,0,3252,5925,1561,0,1561,52.843,50.062
06-16-2026 00:26:50,6.67,0,3252,5884,1479,0,1520,52.906,50.25
06-16-2026 00:26:51,7.33,41,3251,5925,1561,0,1520,52.968,50.25
06-16-2026 00:26:52,6.67,0,3252,5967,1561,0,1561,52.781,50.312
06-16-2026 00:26:53,6.83,0,3252,5843,1479,0,1520,52.968,50.187
06-16-2026 00:26:54,7.83,64,3252,6049,1602,0,1561,53.062,50.375
06-16-2026 00:26:55,6.67,1,3253,5967,1561,0,1561,52.75,50.125
